ad_id	site_id	frequency	total_users
amp	sheknows	8	3
728x90leaderboard	fusionmediagroup	8	1
93495143	N7310.468584.AMNETGROUPINC.	8	1
92049783	N553.Rocketfuel	8	1
91947514	dataxu	8	1
138212850897	335798	6	1
240229	1994-innovid	6	1
sale_text_logo_link	realtor	6	5
roadblock	cafemedia	6	1
92855207	N46002.1607AMERICANKENNELCLUB	6	1
93708446	N96601.132333TRIADDIGITAL	6	1
715280	brightrollexchange	6	1
812417	videology	6	1
creative	bustlemobile	6	49
92096749	N9724.288332ACCUEN	6	3
interscroller	tabmomobile	6	2
138214750882	meredith	6	1
92061123	N9724.2550REALTOR.COM	6	3
rent_text_logo_link	realtor	6	1
138214751056	meredith	6	1
93918142	N1057.1972103DOUBLECLICKBIDMANAG	6	2
300x600	tripadvisor	6	2
138212666373	allrecipes	6	1
richmedia	adcolony	6	3
-	maxpointinteractivemobile	6	1
300x250	aap	6	29
137725	dstillery	6	20
combine_coverage_save	zillow	6	1
93718454	N553.Rocketfuel	6	1
messymoments	goodwaygroup	6	1
137734	dstillery	6	2
93563801	N4682.284566THETRADEDESK	6	2
300x250	fusionmediagroup	6	1
46798839	18556	6	5
94197988	N572608.468584AMNETGROUP0	6	3
deterministic_butterfly_728x90	education	6	2
dynamiccriteo	criteo	6	60
970x150_maxiborad1	globoesporte	6	5
137729	dstillery	6	5
46798820	18556	6	1
creative	brightrollexchange	6	1
spadisplay	quantcast	6	3
300x250	tripadvisor	6	9
deterministic_butterfly_160x600	education	6	2
evu	meredithvideo	6	2
video	teads	6	2
birthdayforkids	evite	6	1
711891	brightrollexchange	6	1
93508110	N4682.284566THETRADEDESK	6	4
tremorSuperPreroll_7806656	tremor	6	1
300x100_ign_rosfeaturedunit_x1x	ign	6	13
homepage1x1nonsurveyable	amazonproper	6	58
1988573	4810	6	3
728x90_relaunch	bizjournals	6	1
92974135	N9724.157906TIMEINC	6	2
79662938	N9724.288332ACCUEN	6	2
mic1x1	mic	6	4
77662946	N311805.1236WEBMD	6	1
contextual_coldflu_q4	xaxis	6	1
300x250_roc_branding	inccom	6	1
48146988	18556	6	1
245540	421-innovid	6	1
48147578	18556	6	1
deterministic_fox_video30s	dcbm	6	1
91996958	N69702.280211CONVERSANTMEDIA	6	1
deterministic_fox_300x250	dcbm	6	1
native1	brightrollexchange	6	3
138212731373	meredith	6	1
81400524	N6103.285985MEDIAIQ0	6	1
-	meredith	6	1
92503181	N4674.cnet.com	6	1
138214803285	meredith	6	1
160x600_tortillakit_345g_fresh	aap	6	2
970x250	justpremium	6	1
-	yume	6	1
video	resonateinsights	6	6
oadw728x90	timeinc	6	1
video	turn	6	16
1988574	7704	6	8
92510841	N482206.2164100DRAWBRIDGECROSSDE	6	1
92084993	dataxu	6	1
300x250_100sov_creativeb	gannett	6	1
160x600_fajitakit_500g_fresh	aap	6	1
crtve	$$_CDID_$$	6	1
91574532	N9724.288332ACCUEN	6	2
728x90_fajitakit_500g_fresh	aap	6	5
320x50	juicemobile	6	1
228369	2928-innovid	6	1
spavideo	quantcast	6	5
93954198	N1057.1972103DOUBLECLICKBIDMANAG	6	1
a18_34_tier2_creativeb	gannett	6	1
native	centro	6	2
980x55	amazonproper	6	2
48304775	62574	6	1
kidsactivities	evite	6	56
160x600	specificmedia1	6	12
hype_15	amobee	6	2
93769813	N568001.2721420POPSUGAR_PG	6	1
video	conversant	6	5
92052525	N553.Rocketfuel	6	1
bonapp_highimpactcrown_1920x520	bonappetit	6	34
halloweenforkids	evite	6	25
138212654749	meredith	6	2
42172221	95546	6	1
94209560	N96601.132333TRIADDIGITAL	6	1
160x600	conversant	6	1
42188883	23043	6	1
oadm_728x90	googledbm	6	1
maxi_970x150	globoesporte	6	7
93290306	N9724.288332ACCUEN	6	1
contobox	specificmedia1	6	6
-	evite	6	3
715270	brightrollexchange	6	1
juice_simply_display320x50	juicemobile	6	1
728x90	specificmedia1	6	14
93563786	N4682.284566THETRADEDESK	6	5
300x600	apartmenttherapy	6	1
93121406	N438603.2631504WEALTHPROFESSIONA	6	1
-	conversant	6	1
91647911	dataxu	6	1
970x250	amazon	6	6
omdp_highimpact	1accuen	6	10
48035328	18556	6	5
native	sheknows	6	1
160x600_rnli_summer2017_angling_amazon_search	amazonint	6	1
715276	brightrollexchange	6	1
-	juicemobile	6	1
78134286	N5371.157906.TIMEINC.COM	6	4
displaystandard	quantcast	6	1
branding_2	R7.com	6	27
92049783	N553.Rocketfuel	6	1
138212222898	meredith	6	2
standardvideo	clearstream	6	17
waiverwirespon	cbssports	6	4
2006251	7704	6	7
91906067	N553.Rocketfuel	6	2
300x600_real_time_headline	gannett	6	1
160x600	maxpointinteractive	6	1
48147144	18556	6	3
1x1	saymedia	6	23
160x600_btfsearch_deaoct_ban_amazon_x1s	amazon	6	5
93707567	N96601.132333TRIADDIGITAL	6	1
92503181	N4674.117101IMAGINGRESOURCE	6	1
93508998	N4682.284566THETRADEDESK	6	6
93091860	N7384.131139SPECIFICMEDIAPERFOR0	6	2
-	specificmedia1	6	2
728x90leaderboard	fusionmediagroup	6	3
juicerichmedia	juicemobile	6	1
morefun_15	amobee	6	2
92968897	N553.Rocketfuel	6	2
cbssports1x1	cbssports	6	1
meredith_highimpact	meredith	6	2
138211697320	meredith	6	1
92092795	N9724.288332ACCUEN	6	34
300x250_fajitakit_500g_fresh	aap	6	2
deterministic_butterfly_160x600	dcbm	6	2
branding_2	torcedores	6	7
138214803368	meredith	6	1
deterministic_zoo_video30s	dcbm	6	1
mcdonalds_mygotolunch_300x250	specificmedia1	6	1
91648838	dataxu	6	1
native2	brightrollexchange	6	4
creative	babycentermobile	6	9
92062113	N9724.288332ACCUEN	6	2
78135522	N5371.healthline	6	1
48035323	18556	6	1
-	torcedores	6	4
138212730089	meredith	6	1
-	-	6	2
93495152	N7310.752083.NETMININGLLC	6	1
715275	brightrollexchange	6	2
246005	1994-innovid	6	10
92858429	N438603.2631504WEALTHPROFESSIONA	6	1
138212735738	meredith	6	1
48147555	18556	6	1
shopperemail	evite	6	1
160x600	varickmm	6	1
93370430	N5118.1302111CLEARSTREAM.TV	6	1
11342485	86112	6	1
137724	dstillery	6	1
230220	30-innovid	6	2
138212201449	meredith	6	5
2014502	7704	6	3
creative	GloboMobile	6	4
92062179	N9724.2550REALTOR.COM	6	1
92096749	N9724.2550REALTOR.COM	6	2
1988585	4810	6	1
728x90	conversant	6	12
descknikond7500video1x1	desck	6	11
creative	Quantcastmobile	6	1
auroravideo	adcolony	6	1
richmedia	dataxu	6	1
-	centro	6	2
46798822	18556	6	1
millennial	evite	6	1
amazon	amazonproper	6	1
83096781	N6040.2573CONDNASTDIGITALWIRED	6	1
970x250	appnexus	6	17
48035317	18556	6	4
300x600	specificmedia1	6	3
dalejr	usatoday	6	3
11342485	76777	6	1
contobox-300x600-1x1	rogers	6	2
93823614	N5716.137443.TRIPADVISOR.CO.UK	6	1
manning	collectivemedia	6	1
-	rocketfuel	6	1
728x90	netmining	6	1
78134957	N5371.157906.TIMEINC.COM	6	1
oadm_300x250	googledbm	6	2
92062212	N9724.288332ACCUEN	6	1
video	specificmedia1	6	4
94197982	N572608.468584AMNETGROUP0	6	3
93480634	N4682.284566THETRADEDESK	6	3
adarajivox	adaramedia	6	43
save_on_home_auto	zillow	6	5
93249931	N46002.1933105IDGE1	6	1
92203940	N46002.8660FAZ.DE	6	1
210939	334-innovid	6	6
300x250	conversant	6	10
728x90	bonappetit	6	1
728x90	inccom	6	1
92762802	N553.Rocketfuel	6	3
test2-reach-video	aap	6	4
970x250_billboard2	Globo	6	47
oadw160x600	googledbm	6	1
personal	owneriq	6	3
branding	rakutenmarketing	6	3
91573155	N9724.288332ACCUEN	6	1
300x250	amazonproper	6	33
video	tubemogul	6	1
46777490	171	6	1
rec_160x600_searchresultpagebelow-the-fold	amazonint	6	1
teads_funspottingv2	teads	6	1
78135522	N5371.274177.WEBMD	6	1
48691680	18556	6	1
230223	30-innovid	6	2
behavioral-richmedia	juicemobile	6	2
vsr_passionate_optimizer_homemaker	xaxis	6	1
unbrandedrecipes	allrecipes	6	10
probabilistic_fox_300x250	dcbm	6	1
230221	30-innovid	6	3
300x250	purewow	6	1
homes_custom_1x1	homes	6	27
93495143	N7310.468584.AMNETGROUPINC.	6	1
300x250_october_amnettarget_ctx_pdp_medrec_bt	amnetgroup	6	3
test2-relevancy-video-game	aap	6	1
native_carrossel_400x300	Globo	6	2
92762808	N553.google	6	1
91904457	dataxu	6	1
92970684	N553.google	6	1
400x300_native	globoesporte	6	1
210940	334-innovid	6	4
native3	brightrollexchange	6	24
standarddisplay	adcolony	6	5
300x600	Uol	6	3
creative	nationalgeographicmobile	6	1
chicago_regional	tapad	6	1
137733	dstillery	6	1
captify_lightbox_preexpand_creative1_billboa	captifyuk	6	1
711888	brightrollexchange	6	3
48304776	62574	6	1
91645628	dataxu	6	1
searchpage	amazonproper	6	2
rk_m_ttd_nativo_unit_1x1-nat_rk00175	nativo	6	2
91947514	dataxu	6	4
300x250richmediacrucial	crucialinteractive	6	5
dstillerymedia6degreesjivox	dstillery	6	2
vsr_oxiclean_purchasers	xaxis	6	1
728x90	aap	6	9
creative	thebump_mobile	6	5
92715223	N9515.151757EXCHANGELAB3	6	6
92290973	N30602.150834TURN2	6	1
-	tremor	6	8
billboard_970x250	Globo	6	5
137750	dstillery	6	5
138212715287	allrecipes	6	1
walmartsite-serveddisplay	walmart	6	2
martin_house	collectivemedia	6	1
91645613	dataxu	6	1
oadw728x90	googledbm	6	3
-	tapad	6	1
moving15	clearstream	6	2
2010243	7704	6	2
2018825	7155	6	6
78135522	N5371.157906.TIMEINC.COM	6	1
probabilistic_butterfly_300x600	dcbm	6	2
creative	juicemobile	6	7
300x250_rms	globonoticias	6	1
78407628	N124603.3804ONIONINC	6	2
inview1	financialtimes	6	1
test2-relevancy-video-voice	aap	6	1
42172234	95546	6	1
92062113	N9724.2550REALTOR.COM	6	2
footballspon	cbssports	6	6
none	financialtimes	6	5
92161175	N6625.668587.AODDISPLAY	6	1
93091830	N7384.131139SPECIFICMEDIAPERFOR0	6	1
shopper	allrecipes	6	1
728x90	exponential	6	1
probabilistic_fox_728x90	dcbm	6	1
300x600_real_time_headline_creativeb	gannett	6	1
160x600	amazonproper	6	16
728x90	sojern	6	5
dinnerseriespkg	evite	6	3
60screative	videoamp	6	1
video15	yahoo	6	2
137722	dstillery	6	1
probabilistic_zoo_300x250	dcbm	6	1
300x250	brandnet	6	20
300x250_tortillakit_345g_fresh	aap	6	4
48700985	18556	6	1
240727	1792-innovid	6	6
93819813	N5716.137443.TRIPADVISOR.CO.UK	6	3
808109	videology	6	10
300x250splashbox	fusionmediagroup	6	1
92505946	N4674.353NATIONALGEOGRAPHIC	6	1
videocomptwpsandnatural	dcbm	6	2
92092747	N9724.288332ACCUEN	6	1
246004	1994-innovid	6	11
728x90_tortillakit_345g_fresh	aap	6	7
78134260	N5371.274177.WEBMD	6	1
137738	dstillery	6	1
creative	GloboEsporteMobile	6	5
668428	brightrollexchange	6	3
experiencia_2	torcedores	6	4
aapvideo	aap	6	28
245541	421-innovid	6	3
target	adconion	6	1
creative	vibrantmedia	6	6
46798834	18556	6	5
-	aol	6	26
728x90_october_amnettarget_ctx_blockad3_btf_x	amnetgroup	6	4
93557966	N7384.1940901RADIUMONE	6	1
logo	realtor	6	502
-	teads	6	3
parentsbundle	evite	6	6
81399068	N6103.285985MEDIAIQ0	6	2
nbu1x1	today	6	1
commercial	owneriq	6	1
300x250_btfdp_deaoct_ban_amazon_x1s	amazon	6	9
42186968	95546	6	1
92060577	N9724.288332ACCUEN	6	11
creative	mobilefuse	6	2
video_ad_vertical	ydigital	6	1
wedding15	clearstream	6	2
94380362	N46002.1607AMERICANKENNELCLUB	6	1
onion_video	theonion	6	1
970x250_billboard	globonoticias	6	16
displaysequential	clearstream	6	13
728x90_october_amnettarget_contextual_stickya	amnetgroup	6	3
yahoo1x1	yahoo	6	3
creative	everydayhealthmobile	6	3
715268	brightrollexchange	6	2
94288523	N572608.468584AMNETGROUP0	6	3
728x90	fusionmediagroup	6	3
47892945	103673	6	1
xaxisjivox	xaxis	6	9
video	rocketfuel	6	3
customcontent	wayfair	6	7
740942	brightrollexchange	6	5
300x250	mashable	6	1
zillow_custom_1x1	zillow	6	202
video	thetradedesk	6	7
138212730680	meredith	6	1
pre_roll	gannett	6	1
edmunds_custom_1x1	edmunds	6	61
793216	videology	6	4
93918145	N1057.1972103DOUBLECLICKBIDMANAG	6	5
concept3	axios	6	1
exponentialtribalfusionjivox	exponential	6	4
video	abc	6	5
video	spotxchange	6	4
-	adconion	6	2
320x50	akitechnologiesmobile	6	1
probabilistic_butterfly_300x250	dcbm	6	1
deterministic_butterfly_video30s	dcbm	6	2
48035330	18556	6	2
728x90	tripadvisor	6	7
728x90	brandnet	6	15
93503850	N4682.284566THETRADEDESK	6	2
standarddisplay	aap	6	1
138212666034	allrecipes	6	1
standarddisplay	foursquaremobile	6	2
test3-reach-video	aap	6	5
48304771	62574	6	2
audio_comp_300x250_mobile	tuneinmobile	6	1
display	google	6	11
93563789	N4682.284566THETRADEDESK	6	1
92060580	N9724.288332ACCUEN	6	4
93053356	N438603.2631504WEALTHPROFESSIONA	6	1
-	about	6	2
video30_2	yahoo	6	5
signinpage	evite	6	1
-	Uol	6	1
93892975	N7384.3027484BASISDSP0	6	1
vsr_fabric_care_competitive_purchasers	xaxis	6	3
48011744	299	6	1
babyfirstcatpack	evite	6	3
300x250	sojern	6	12
300x250	varickmm	6	1
video	clearstream	6	64
aap	aap	6	22
160x600	aap	6	8
92506046	N9724.2106WEATHERCHANNEL	6	2
42192701	23043	6	1
970x250	Uol	6	2
1024x100_october_amnettarget_pb_baseboard_a	amnetgroup	6	2
video30_1	yahoo	6	1
78134974	N5371.157906.TIMEINC.COM	6	4
93665736	N553.Rocketfuel	6	1
728x90	justpremium	6	1
1074482319	70120	6	1
91645625	dataxu	6	1
160x600	brandnet	6	9
probabilistic_butterfly_video30s	dcbm	6	1
customvideo_jesse_cecilia	apartmenttherapy	6	1
divulgacao	Globo	6	2
300x250	specificmedia1	6	14
92511753	N482206.2164100DRAWBRIDGECROSSDE	6	2
94209557	N96601.132333TRIADDIGITAL	6	1
91466874	N4827.133090MEDIAMATH	6	1
amp	sheknows	6	2
138211694728	meredith	6	1
48208962	36210	6	1
divulgacao	globonoticias	6	1
244747	23-innovid	6	1
1x1	collective	6	2
91574994	N9724.288332ACCUEN	6	1
93495146	N7310.468584.AMNETGROUPINC.	6	2
93480625	N4682.284566THETRADEDESK	6	1
creative	radiumone	6	9
-	entrepreneur	6	1
42187005	95546	6	1
48208895	18556	6	1
manifesto30	clearstream	6	2
137717	dstillery	6	2
display_banners	google	6	4
48209031	36210	6	1
nativoinfeedendemicvideo_siteserved	nativo	6	2
728x90_october_amnettarget_pb_stickyad_atf	amnetgroup	6	1
90815674	N498605.149937VARICKMM	6	1
91916782	N7123.128483.REALESTATE.COM.AU	6	1
92062128	N9724.288332ACCUEN	6	8
2018825	7704	6	2
230288	videology	6	3
experiencia	rakutenmarketing	6	1
92820245	N9724.149883CBSINTERACTIVE-CBSSP	6	1
246002	1994-innovid	6	8
48304770	62574	6	4
78134264	N5371.274177.WEBMD	6	1
728x90	Uol	6	6
728x90_october_amnettarget_contextual_blockad	amnetgroup	6	1
300x250	amobee-mobile	6	3
-	gdnjapan	6	5
babyshowercatpack	evite	6	5
2018833	7155	6	6
2014831	7704	6	3
customcontentcenter	healthline	6	1
video	acuity	6	1
