ad_id	site_id	frequency	total_users
1024x100_october_amnettarget_pb_baseboard_a	amnetgroup	20	1
dinnerseriespkg	evite	18	1
137725	dstillery	18	1
displaysequential	clearstream	18	2
78134286	N5371.274177.WEBMD	18	1
creative	babycentermobile	18	1
creative	radiumone	18	1
728x90	specificmedia1	18	1
native3	brightrollexchange	18	1
edmunds_custom_1x1	edmunds	18	6
160x600	specificmedia1	18	2
728x90leaderboard	fusionmediagroup	18	1
kidsactivities	evite	18	5
homes_custom_1x1	homes	18	2
parentsbundle	evite	18	1
137733	dstillery	18	1
standardvideo	clearstream	18	1
ronmedia	cafemedia	18	1
contobox	specificmedia1	18	1
zillow_custom_1x1	zillow	18	5
970x250	fusionmediagroup	18	1
970x250	amazon	18	1
812417	videology	18	1
video	resonateinsights	18	1
300x250	aap	18	1
walmartsite-serveddisplay	walmart	18	1
homepage1x1nonsurveyable	amazonproper	18	1
dynamiccriteo	criteo	18	3
bonapp_highimpactcrown_1920x520	bonappetit	18	4
creative	bustlemobile	18	3
-	tapad	18	2
-	clearstream	18	2
48208962	36210	18	1
92092795	N9724.288332ACCUEN	18	1
94247575	N428001.3027484BASISDSP	18	1
logo	realtor	18	49
halloweenforkids	evite	18	2
1x1	saymedia	18	1
-	youtube	18	1
48035317	18556	18	1
1988574	7704	18	1
display_banners	google	18	1
video	clearstream	18	5
46777507	171	18	1
footballspon	cbssports	18	1
video	specificmedia1	18	1
nativoinfeedendemicvideo_siteserved	nativo	18	1
logo	realtor	16	71
video	clearstream	16	3
contextual	healthline	16	1
160x600	specificmedia1	16	4
970x250	appnexus	16	1
138211213158	meredith	16	1
137729	dstillery	16	1
970x250_billboard	globonoticias	16	1
tremorSuperPreroll_7806656	tremor	16	1
728x90	specificmedia1	16	6
native	sheknows	16	1
creative	radiumone	16	1
edmunds_custom_1x1	edmunds	16	2
300x100_ign_rosfeaturedunit_x1x	ign	16	1
300x250_brandview	inccom	16	1
native3	brightrollexchange	16	3
zillow_custom_1x1	zillow	16	5
amp	sheknows	16	1
kidsactivities	evite	16	5
halloweenforkids	evite	16	5
homepage1x1nonsurveyable	amazonproper	16	2
agebdaybundle	evite	16	1
160x600	maxpointinteractive	16	1
creative	bustlemobile	16	4
1988574	7704	16	2
display_banners	google	16	1
300x250_october_amnettarget_ctx_pdp_medrec_bt	amnetgroup	16	1
dynamiccriteo	criteo	16	3
dstillerymedia6degreesjivox	dstillery	16	2
728x90	fusionmediagroup	16	1
creative	thebump_mobile	16	3
94197982	N572608.468584AMNETGROUP0	16	1
48208962	36210	16	1
bonapp_highimpactcrown_1920x520	bonappetit	16	11
standardvideo	clearstream	16	1
300x250	aap	16	1
46777503	171	16	1
branding_2	torcedores	16	1
video	resonateinsights	16	1
-	aol	16	1
waiverwirespon	cbssports	16	1
dinnerseriespkg	evite	16	1
728x90_october_amnettarget_contextual_stickya	amnetgroup	16	1
1074482317	70120	16	1
aap	aap	16	1
-	clearstream	14	1
logo	realtor	14	93
creative	vibrantmedia	14	1
audio_comp_300x250_mobile	tuneinmobile	14	1
2010243	7704	14	1
300x250	aap	14	1
parentsbundle	evite	14	1
moving30	clearstream	14	1
kidsactivities	evite	14	2
-	tapad	14	1
1x1	saymedia	14	1
92974129	N9724.157906TIMEINC	14	1
92506046	N9724.2106WEATHERCHANNEL	14	1
zillow_custom_1x1	zillow	14	6
native_carrossel_400x300	Globo	14	1
48209031	36210	14	1
78134957	N5371.274177.WEBMD	14	1
creative	bustlemobile	14	5
2014502	7704	14	1
300x250	specificmedia1	14	1
728x90	inccom	14	1
native3	brightrollexchange	14	2
babyfirstcatpack	evite	14	1
78134286	N5371.274177.WEBMD	14	1
300x100_ign_rosfeaturedunit_x1x	ign	14	1
1988585	4810	14	1
808109	videology	14	1
92060580	N9724.288332ACCUEN	14	1
edmunds_custom_1x1	edmunds	14	3
728x90	exponential	14	1
probabilistic_fox_300x250	dcbm	14	1
video	turn	14	1
94247311	N428001.3027484BASISDSP	14	1
displaysequential	clearstream	14	1
video	specificmedia1	14	1
300x250	brandnet	14	1
bonapp_highimpactcrown_1920x520	bonappetit	14	3
92092795	N9724.288332ACCUEN	14	2
728x90	specificmedia1	14	4
92060577	N9724.288332ACCUEN	14	1
oadm_728x90	googledbm	14	1
-	aol	14	2
roseanna	dataxu	14	1
oadm_300x250	googledbm	14	1
ronmedia	cafemedia	14	1
signinpage	evite	14	1
probabilistic_fox_728x90	dcbm	14	1
970x250_billboard2	Globo	14	1
video	clearstream	14	10
42188883	23043	14	1
teads_inread60_desktop	teads	14	1
2018825	7704	14	1
dynamiccriteo	criteo	14	10
shopperemail	evite	14	1
descknikond7500video1x1	desck	14	1
728x90_fajitakit_500g_fresh	aap	14	1
1074428066	60779	14	1
creative	radiumone	14	1
1074482317	70120	14	1
970x250	appnexus	14	1
160x600	specificmedia1	14	2
300x250	amazonproper	14	1
deterministic_butterfly_728x90	dcbm	14	1
2018833	7155	14	1
halloweenforkids	evite	14	4
93635035	N96601.132333TRIADDIGITAL	14	1
homes_custom_1x1	homes	14	1
aapvideo	aap	14	1
display	google	14	3
homepage1x1nonsurveyable	amazonproper	14	5
138212654749	meredith	14	1
mobile_exposed	bustlemobile	12	1
160x600_fajitakit_500g_fresh	aap	12	1
creative	thebump_mobile	12	2
970x250	justpremium	12	1
aap	aap	12	1
240727	1792-innovid	12	1
zillow_custom_1x1	zillow	12	18
displaystandard	quantcast	12	1
native3	brightrollexchange	12	6
video30_2	yahoo	12	1
300x250	brandnet	12	2
creative	bustlemobile	12	9
160x600	amazonproper	12	2
42192701	23043	12	1
displayretargeting	clearstream	12	1
-	maxpointinteractivemobile	12	1
adarajivox	adaramedia	12	1
78134286	N5371.157906.TIMEINC.COM	12	1
1988574	7704	12	3
1074482319	70120	12	1
homes_custom_1x1	homes	12	5
creative	babycentermobile	12	2
stackadapt_1x1	98629	12	1
parentsbundle	evite	12	1
808109	videology	12	3
715276	brightrollexchange	12	1
dynamiccriteo	criteo	12	10
78135522	N5371.274177.WEBMD	12	1
customcontent	wayfair	12	1
displaysequential	clearstream	12	1
sponsorship	thisoldhouse	12	1
edmunds_custom_1x1	edmunds	12	19
display	google	12	2
300x250	specificmedia1	12	2
970x250_billboard2	Globo	12	1
93819813	N5716.137443.TRIPADVISOR.CO.UK	12	1
812345	videology	12	1
kidsactivities	evite	12	11
91605262	N9724.288332ACCUEN	12	1
92062128	N9724.288332ACCUEN	12	1
92049783	N553.Rocketfuel	12	2
video	specificmedia1	12	5
xaxisjivox	xaxis	12	2
1x1	saymedia	12	1
2006251	7704	12	1
48304770	62574	12	1
970x250	amazon	12	1
-	pandoramobile	12	1
137725	dstillery	12	1
793215	videology	12	1
92092795	N9724.288332ACCUEN	12	2
300x250	conversant	12	2
92060580	N9724.288332ACCUEN	12	1
94288523	N572608.468584AMNETGROUP0	12	2
unbrandedrecipes	allrecipes	12	1
92510841	N482206.2164100DRAWBRIDGECROSSDE	12	1
branding_2	R7.com	12	1
rk_m_ttd_nativo_unit_1x1-nat_rk00175	nativo	12	1
dstillerymedia6degreesjivox	dstillery	12	4
experiencia_2	torcedores	12	1
contextual	healthline	12	1
creative	radiumone	12	2
video	spotxchange	12	1
video	clearstream	12	16
1074482317	70120	12	1
-	undertone	12	1
standarddisplay	adcolony	12	1
137734	dstillery	12	1
42188872	23043	12	1
92062179	N9724.2550REALTOR.COM	12	1
728x90_october_amnettarget_contextual_stickya	amnetgroup	12	1
92060577	N9724.288332ACCUEN	12	4
bonapp_highimpactcrown_1920x520	bonappetit	12	11
210939	334-innovid	12	1
78134260	N5371.274177.WEBMD	12	1
birthdayforkids	evite	12	1
300x250_btfdp_deaoct_ban_amazon_x1s	amazon	12	1
homepage1x1nonsurveyable	amazonproper	12	5
728x90	specificmedia1	12	5
descknikond7500video1x1	desck	12	1
2018825	7704	12	1
aapvideo	aap	12	1
2018825	7155	12	1
92062113	N9724.2550REALTOR.COM	12	1
halloweenforkids	evite	12	5
728x90	brandnet	12	1
1988585	4810	12	1
93495143	N7310.468584.AMNETGROUPINC.	12	1
nativoinfeedendemicvideo_siteserved	nativo	12	1
300x250	amazonproper	12	3
logo	realtor	12	114
-	aol	12	5
300x250	aap	12	2
210940	334-innovid	12	2
agebdaybundle	evite	12	1
deterministic_butterfly_160x600	dcbm	12	1
300x100_ign_rosfeaturedunit_x1x	ign	12	2
48035317	18556	12	1
728x90	conversant	12	2
160x600_btfsearch_deaoct_ban_amazon_x1s	amazon	12	1
spadisplay	quantcast	12	1
